id_schedule,user_id,name,created_at,deleted
6104d2cf8aadd383ec57d3c3,60f4f2b38cd53dc0e3b371ba,212/plan-1,2021-07-31T04:34:23.663Z,False
6104d66a8aadd383ec57d3c4,60f58061752be98a2e59f66a,Bismillah Sem 3,2021-07-31T04:49:46.213Z,False
6104d8338aadd383ec57d3c8,6104d79c8aadd383ec57d3c7,,2021-07-31T04:57:23.297Z,False
6104dbf08aadd383ec57d3c9,6104d7878aadd383ec57d3c5,,2021-07-31T05:13:20.442Z,False
6104e4fb8aadd383ec57d3ca,61016eb0737501fdf91e858d,Bismillah SMT 5,2021-07-31T05:51:55.245Z,False
61050ea38aadd383ec57d3cc,60f527ee752be98a2e59f657,,2021-07-31T08:49:39.831Z,True
61050faf8aadd383ec57d3cd,60f527ee752be98a2e59f657,,2021-07-31T08:54:07.412Z,True
61052e5f8aadd383ec57d3d0,60f54957752be98a2e59f65d,Jadwal 1,2021-07-31T11:05:03.795Z,False
6105359a8aadd383ec57d3d2,60f6ad09752be98a2e59f67b,Plan 1,2021-07-31T11:35:54.033Z,False
610536ac8aadd383ec57d3d3,60f6ad09752be98a2e59f67b,Plan 2,2021-07-31T11:40:28.776Z,False
61053b2c8aadd383ec57d3d7,60f6aa80752be98a2e59f679,,2021-07-31T11:59:40.307Z,False
61053f718aadd383ec57d3d8,60f56687752be98a2e59f663,Term 5,2021-07-31T12:17:53.942Z,False
610546d58aadd383ec57d3d9,610246db737501fdf91e85a1,Draft Semester 3,2021-07-31T12:49:25.623Z,True
6105488a8aadd383ec57d3da,60f6aa38752be98a2e59f678,+ StatTer BasDat,2021-07-31T12:56:42.032Z,False
610560e18aadd383ec57d3de,60f7cad2752be98a2e59f6a5,1,2021-07-31T14:40:33.28Z,False
610566668aadd383ec57d3e1,610211b9737501fdf91e8593,pilihan utama :),2021-07-31T15:04:06.552Z,False
610567118aadd383ec57d3e2,610210e2737501fdf91e8592,,2021-07-31T15:06:57.21Z,True
610567708aadd383ec57d3e3,6103bbb4737501fdf91e8624,Budi,2021-07-31T15:08:32.89Z,False
6105698e8aadd383ec57d3e4,61040325737501fdf91e8634,,2021-07-31T15:17:34.578Z,False
610572418aadd383ec57d3e6,61056e5c8aadd383ec57d3e5,Anum,2021-07-31T15:54:41.092Z,False
610576618aadd383ec57d3e7,60f56253752be98a2e59f661,,2021-07-31T16:12:17.964Z,True
6105cf018aadd383ec57d3ed,6104be19737501fdf91e863b,,2021-07-31T22:30:25.328Z,False
6105fde18aadd383ec57d3ef,60fffbb7752be98a2e59f7f0,dosen priority,2021-08-01T01:50:25.303Z,False
610609f88aadd383ec57d3f2,6106094a8aadd383ec57d3f0,,2021-08-01T02:42:00.274Z,False
61060d9f8aadd383ec57d3f3,60fffbb7752be98a2e59f7f0,bangun siang,2021-08-01T02:57:35.448Z,False
610612808aadd383ec57d3f4,60f79dc5752be98a2e59f698,1,2021-08-01T03:18:24.073Z,False
6106187f8aadd383ec57d3f5,60f4f2b38cd53dc0e3b371ba,Rename,2021-08-01T03:43:59.179Z,True
61062fe38aadd383ec57d3f7,60f7e3c7752be98a2e59f6be,Jadwal Semester 3,2021-08-01T05:23:47.274Z,False
610647b68aadd383ec57d3fa,60ffb91a752be98a2e59f7ee,TERM - 5,2021-08-01T07:05:26.475Z,False
61065ba68aadd383ec57d3fd,60f6ab86752be98a2e59f67a,Plan A,2021-08-01T08:30:30.186Z,False
61065e558aadd383ec57d421,60f4f4c18cd53dc0e3b371c5,,2021-08-01T08:41:57.523Z,True
61065fcd8aadd383ec57d458,61065f328aadd383ec57d43f,Jadwal Semester 7,2021-08-01T08:48:13.636Z,False
610660018aadd383ec57d45c,61065e318aadd383ec57d41c,,2021-08-01T08:49:05.05Z,False
6106600f8aadd383ec57d45f,61065f728aadd383ec57d44a,,2021-08-01T08:49:19.474Z,False
610660338aadd383ec57d466,61065f328aadd383ec57d440,Sem 5,2021-08-01T08:49:55.806Z,False
6106609b8aadd383ec57d472,61065fb08aadd383ec57d454,,2021-08-01T08:51:39.687Z,True
610661f58aadd383ec57d47c,61065f128aadd383ec57d43c,Untitled,2021-08-01T08:57:25.822Z,False
610662068aadd383ec57d47d,61065f268aadd383ec57d43e,Rencana Study 1,2021-08-01T08:57:42.469Z,False
610662078aadd383ec57d47f,6106601d8aadd383ec57d462,,2021-08-01T08:57:43.946Z,False
6106629d8aadd383ec57d483,60f51c1b8cd53dc0e3b371f0,,2021-08-01T09:00:13.418Z,False
6106633d8aadd383ec57d487,610662558aadd383ec57d481,,2021-08-01T09:02:53.47Z,False
610664088aadd383ec57d48a,610661b08aadd383ec57d47b,Alin C dan MPPI D,2021-08-01T09:06:16.5Z,False
610664ca8aadd383ec57d48d,610664188aadd383ec57d48b,,2021-08-01T09:09:30.287Z,False
610666c88aadd383ec57d493,60f505258cd53dc0e3b371d5,Plan A,2021-08-01T09:18:00.668Z,False
61066ad38aadd383ec57d498,60f505258cd53dc0e3b371d5,Plan B,2021-08-01T09:35:15.403Z,True
61066cfa8aadd383ec57d499,610289f7737501fdf91e85f7,Awan Semester 5,2021-08-01T09:44:26.007Z,False
610673fa8aadd383ec57d4a5,61014895737501fdf91e8569,,2021-08-01T10:14:18.157Z,True
6106744e8aadd383ec57d4a6,610670c18aadd383ec57d4a4,,2021-08-01T10:15:42.061Z,True
610674d98aadd383ec57d4a8,60f506838cd53dc0e3b371d7,Plan 1,2021-08-01T10:18:01.182Z,False
6106758f8aadd383ec57d4a9,610674af8aadd383ec57d4a7,,2021-08-01T10:21:03.629Z,True
610676d68aadd383ec57d4ab,6106764f8aadd383ec57d4aa,,2021-08-01T10:26:30.872Z,False
61067b608aadd383ec57d4ad,60fbb700752be98a2e59f76f,Smt 5,2021-08-01T10:45:52.054Z,False
610682a88aadd383ec57d4b1,61065f7b8aadd383ec57d44d,Jadwal riska cantik,2021-08-01T11:16:56.377Z,False
